FID;tipo;id;Tipo_1;Fecha;Departamen;Municipio;Vereda;Latitud;Longitud;X;Y;class
792;noevent;id_793;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.158176345;-76.78438816;699013.9993;841376.0702;111
793;noevent;id_794;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.168175932;-76.74260124;703666.6352;842470.9811;111
794;noevent;id_795;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.191851762;-76.75976601;701763.4934;845096.8022;111
795;noevent;id_796;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.170260259;-76.75879829;701864.9604;842706.3646;111
796;noevent;id_797;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.211609589;-76.7833311;699147.1558;847290.8877;111
797;noevent;id_798;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.169961092;-76.78713302;698711.9703;842681.4555;111
798;noevent;id_799;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.202326162;-76.75528944;702264.6248;846255.006;111
799;noevent;id_800;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.162375386;-76.78185611;699296.9659;841840.1748;111
800;noevent;id_801;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.169606565;-76.77923316;699590.92;842639.9118;111
801;noevent;id_802;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.178332334;-76.76640057;701021.3599;843602.1344;111
802;noevent;id_803;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.211180861;-76.76234589;701482.0342;847237.2693;111
803;noevent;id_804;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.201190808;-76.78865651;698551.5419;846139.0813;111
804;noevent;id_805;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.165380897;-76.74638532;703244.7797;842162.6608;111
805;noevent;id_806;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.174510499;-76.76833228;700805.3121;843179.6178;111
806;noevent;id_807;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.217661845;-76.78644378;698802.5853;847961.7993;111
807;noevent;id_808;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.151132064;-76.78327202;699136.1703;840595.937;111
808;noevent;id_809;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.171915989;-76.78300392;699171.9999;842896.6633;111
809;noevent;id_810;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.16432026;-76.7506851;702766.0336;842046.4828;111
810;noevent;id_811;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.192880478;-76.77216026;700384.6783;845214.2871;111
811;noevent;id_812;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.181235877;-76.78293676;699182.1746;843928.366;111
812;noevent;id_813;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.174545329;-76.75599;702178.6723;843179.9073;111
813;noevent;id_814;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.188781385;-76.787252;698704.2003;844764.9256;111
814;noevent;id_815;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.19237667;-76.75016099;702832.3908;845152.1257;111
815;noevent;id_816;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.221517501;-76.76800427;700855.4523;848383.1894;111
816;noevent;id_817;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.190314921;-76.76981442;700644.9582;844929.596;111
817;noevent;id_818;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.203587975;-76.77197835;700408.0314;846399.5558;111
818;noevent;id_819;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.179501401;-76.76172965;701541.4376;843730.1969;111
819;noevent;id_820;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.301250879;-76.67711879;710990.473;857182.7681;111
820;noevent;id_821;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.314130332;-76.67250688;711507.2772;858607.0736;111
821;noevent;id_822;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.31038067;-76.66904155;711891.7053;858191.0096;111
822;noevent;id_823;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.340357828;-76.66557384;712286.1827;861508.201;111
823;noevent;id_824;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.32786197;-76.67703713;711007.2905;860128.3765;111
824;noevent;id_825;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.305294311;-76.68249738;710393.2742;857631.9112;111
825;noevent;id_826;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.323809518;-76.67452401;711285.6883;859679.0672;111
826;noevent;id_827;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.319515469;-76.67149849;711621.0223;859202.8682;111
827;noevent;id_828;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.312778851;-76.66765858;712046.2526;858456.0649;111
828;noevent;id_829;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.330845378;-76.67354985;711396.111;860457.593;111
829;noevent;id_830;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.302014561;-76.67889131;710793.5011;857267.8174;111
830;noevent;id_831;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.329856992;-76.66765599;712051.4946;860346.4621;111
831;noevent;id_832;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.34259908;-76.67759489;710949.5508;861759.82;111
832;noevent;id_833;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.339396877;-76.60396476;719139.4517;861384.002;111
833;noevent;id_834;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.299675992;-76.76590695;701111.924;857034.6974;111
834;noevent;id_835;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.300020623;-76.76938579;700724.9755;857073.8948;111
835;noevent;id_836;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.29898348;-76.78066311;699469.955;856962.485;111
836;noevent;id_837;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.293071531;-76.77910056;699642.0286;856307.5541;111
837;noevent;id_838;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.295154524;-76.78165013;699358.9875;856538.9133;111
838;noevent;id_839;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.289675315;-76.77851538;699706.1184;855931.4134;111
839;noevent;id_840;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.330822462;-76.62718989;716553.4099;860441.5916;111
840;noevent;id_841;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.328468614;-76.62890886;716361.512;860181.5444;111
841;noevent;id_842;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.342016476;-76.62437858;716869.3549;861679.8188;111
842;noevent;id_843;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.338001765;-76.64634633;714424.4511;861241.7976;111
843;noevent;id_844;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.331663099;-76.6330575;715900.9206;860536.3308;111
844;noevent;id_845;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.345343455;-76.66370161;712495.9134;862059.5156;111
845;noevent;id_846;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.341104089;-76.63741301;715419.118;861582.5976;111
846;noevent;id_847;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.344917425;-76.65296137;713690.5756;862009.2157;111
847;noevent;id_848;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.346956047;-76.59304641;720356.1458;862217.5715;111
848;noevent;id_849;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.304092043;-76.54053402;726185.5673;857458.5467;111
849;noevent;id_850;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.335050292;-76.60382742;719153.4943;860902.8584;111
850;noevent;id_851;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.321291721;-76.54921205;725224.9827;859364.621;111
851;noevent;id_852;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.325573056;-76.75894731;701893.9995;859899.3913;111
852;noevent;id_853;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.310060137;-76.76049373;701717.295;858182.589;111
853;noevent;id_854;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.320026183;-76.75300171;702553.8134;859283.5647;111
854;noevent;id_855;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.321373887;-76.76715583;700979.4913;859437.0285;111
855;noevent;id_856;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.321117778;-76.76145105;701614.106;859406.9517;111
856;noevent;id_857;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.236135004;-76.77719056;699837.6113;850004.0612;111
857;noevent;id_858;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.240067895;-76.78739875;698702.9389;850442.4679;111
858;noevent;id_859;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.226808631;-76.78500989;698964.8253;848973.9377;111
859;noevent;id_860;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.243864134;-76.78395745;699086.9661;850861.693;111
860;noevent;id_861;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.242860315;-76.52427386;727977.7761;850677.022;111
861;noevent;id_862;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.271734808;-76.47662301;733286.1556;853860.0153;111
862;noevent;id_863;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.259662021;-76.46555661;734513.9668;852520.9348;111
863;noevent;id_864;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.240304821;-76.47699538;733236.4551;850381.6031;111
864;noevent;id_865;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.261440967;-76.48152626;732738.0068;852722.0468;111
